genbank_accession	gisaid_epi_isl
LR757996.1	EPI_ISL_406800
LR757997.1	EPI_ISL_406799
LR757998.1	EPI_ISL_406798
LR814011.2	EPI_ISL_457427
LR814115.1	EPI_ISL_457447
LR814143.1	EPI_ISL_457333
LR814249.1	EPI_ISL_457359
LR821873.1	EPI_ISL_457349
LR821887.1	EPI_ISL_457572
LR821922.1	EPI_ISL_457351
LR824044.1	EPI_ISL_466935
LR824055.1	EPI_ISL_466939
LR824059.1	EPI_ISL_466947
LR824063.1	EPI_ISL_466955
LR824064.1	EPI_ISL_466953
LR824069.1	EPI_ISL_466959
LR824081.1	EPI_ISL_466972
LR824086.1	EPI_ISL_466989
LR824089.1	EPI_ISL_466978
LR824090.1	EPI_ISL_466981
LR824091.1	EPI_ISL_466990
LR824095.1	EPI_ISL_466984
LR824097.1	EPI_ISL_466979
LR824110.1	EPI_ISL_467005
LR824113.1	EPI_ISL_467008
LR824115.1	EPI_ISL_467001
LR824121.1	EPI_ISL_467015
LR824125.1	EPI_ISL_468205
LR824126.1	EPI_ISL_468206
LR824139.1	EPI_ISL_468214
LR824141.1	EPI_ISL_468217
LR824146.1	EPI_ISL_468221
LR824165.1	EPI_ISL_468249
LR824186.1	EPI_ISL_468261
LR824196.1	EPI_ISL_468269
LR824203.1	EPI_ISL_468277
LR824215.1	EPI_ISL_468288
LR824230.1	EPI_ISL_468295
LR824231.1	EPI_ISL_468300
LR824232.1	EPI_ISL_468296
LR824235.1	EPI_ISL_451673
LR824253.1	EPI_ISL_451679
LR824254.1	EPI_ISL_451692
LR824257.1	EPI_ISL_451699
LR824259.1	EPI_ISL_451706
LR824271.1	EPI_ISL_451702
LR824274.1	EPI_ISL_451713
LR824277.1	EPI_ISL_451716
LR824308.1	EPI_ISL_451751
LR824310.1	EPI_ISL_451747
LR824316.1	EPI_ISL_451754
LR824317.1	EPI_ISL_451766
LR824320.1	EPI_ISL_451768
LR824327.1	EPI_ISL_451755
LR824329.1	EPI_ISL_451762
LR824330.1	EPI_ISL_451759
LR824335.1	EPI_ISL_451774
LR824356.1	EPI_ISL_451783
LR824368.1	EPI_ISL_451805
LR824370.1	EPI_ISL_451807
LR824372.1	EPI_ISL_451811
LR824377.1	EPI_ISL_451814
LR824387.1	EPI_ISL_451828
LR824389.1	EPI_ISL_451825
LR824407.1	EPI_ISL_451846
LR824408.1	EPI_ISL_451841
LR824422.1	EPI_ISL_451858
LR824432.1	EPI_ISL_451871
LR824435.1	EPI_ISL_451872
LR824455.1	EPI_ISL_451895
LR824458.1	EPI_ISL_451896
LR824461.1	EPI_ISL_451904
LR824465.1	EPI_ISL_451899
LR824469.1	EPI_ISL_451903
LR824470.1	EPI_ISL_451898
LR824471.1	EPI_ISL_451901
LR824487.1	EPI_ISL_476086
LR824491.1	EPI_ISL_476092
LR824498.1	EPI_ISL_476097
LR824509.1	EPI_ISL_476109
LR824511.1	EPI_ISL_476110
LR824529.1	EPI_ISL_476125
LR824563.1	EPI_ISL_476133
LR824571.1	EPI_ISL_491111
LR860569.1	EPI_ISL_486447
LR860570.1	EPI_ISL_486446
LR860576.1	EPI_ISL_486448
LR860587.1	EPI_ISL_486468
LR860610.1	EPI_ISL_486492
LR860619.1	EPI_ISL_486500
LR860634.1	EPI_ISL_486516
LR860635.1	EPI_ISL_486524
LR860638.1	EPI_ISL_486523
LR860640.1	EPI_ISL_486526
LR860646.1	EPI_ISL_486520
LR860649.1	EPI_ISL_486532
LR860652.1	EPI_ISL_486535
LR861491.1	EPI_ISL_489960
LR861492.1	EPI_ISL_489975
LR861493.1	EPI_ISL_489959
LR861668.1	EPI_ISL_489978
LR861672.1	EPI_ISL_489973
LR861674.1	EPI_ISL_489985
LR861676.1	EPI_ISL_489986
LR861677.1	EPI_ISL_489967
LR861687.1	EPI_ISL_489983
LR862442.1	EPI_ISL_500893
LR862443.1	EPI_ISL_500882
LR862444.1	EPI_ISL_500885
LR862445.1	EPI_ISL_500878
LR862453.1	EPI_ISL_500895
LR862454.1	EPI_ISL_500896
LR862457.1	EPI_ISL_500881
LR862458.1	EPI_ISL_500888
LR862460.1	EPI_ISL_500900
LR862461.1	EPI_ISL_500898
LR862463.1	EPI_ISL_500897
LR862466.1	EPI_ISL_500908
LR862471.1	EPI_ISL_500899
LR862479.1	EPI_ISL_500927
LR862484.1	EPI_ISL_500918
LR862488.1	EPI_ISL_500926
LR862490.1	EPI_ISL_500925
LR862491.1	EPI_ISL_500923
LR862493.1	EPI_ISL_500931
LR862495.1	EPI_ISL_500932
LR862498.1	EPI_ISL_500935
LR862501.1	EPI_ISL_500938
LR862503.1	EPI_ISL_500943
LR862504.1	EPI_ISL_500944
LR880573.1	EPI_ISL_523867
LR880577.1	EPI_ISL_523859
LR880578.1	EPI_ISL_523862
LR880579.1	EPI_ISL_523865
LR880583.1	EPI_ISL_523860
LR880585.1	EPI_ISL_523870
LR880587.1	EPI_ISL_523856
LR880588.1	EPI_ISL_523864
LR880590.1	EPI_ISL_523863
LR880596.1	EPI_ISL_523889
LR880597.1	EPI_ISL_523887
LR880602.1	EPI_ISL_523879
LR880606.1	EPI_ISL_523880
LR880607.1	EPI_ISL_523882
LR880615.1	EPI_ISL_523909
LR880616.1	EPI_ISL_523911
LR880620.1	EPI_ISL_523900
LR880623.1	EPI_ISL_523903
LR880626.1	EPI_ISL_523913
LR880633.1	EPI_ISL_523926
LR880637.1	EPI_ISL_523922
LR880639.1	EPI_ISL_523916
LR880644.1	EPI_ISL_523920
LR881869.1	EPI_ISL_535598
LR881880.1	EPI_ISL_535587
LR881890.1	EPI_ISL_535607
LR881894.1	EPI_ISL_535610
LR881902.1	EPI_ISL_535616
LR881906.1	EPI_ISL_535622
LR881910.1	EPI_ISL_535631
LR881921.1	EPI_ISL_535645
LR882037.1	EPI_ISL_541513
LR882038.1	EPI_ISL_541402
LR882039.1	EPI_ISL_541422
LR882042.1	EPI_ISL_541420
LR882045.1	EPI_ISL_541473
LR882047.1	EPI_ISL_541510
LR882048.1	EPI_ISL_541418
LR882063.1	EPI_ISL_541475
LR882068.1	EPI_ISL_541404
LR882069.1	EPI_ISL_541507
LR882071.1	EPI_ISL_541484
LR882075.1	EPI_ISL_541519
LR882078.1	EPI_ISL_541427
LR882083.1	EPI_ISL_541522
LR882085.1	EPI_ISL_541403
LR882087.1	EPI_ISL_541419
LR882090.1	EPI_ISL_541447
LR882093.1	EPI_ISL_541436
LR882100.1	EPI_ISL_541465
LR882101.1	EPI_ISL_541450
LR882108.1	EPI_ISL_541437
LR882109.1	EPI_ISL_541438
LR882110.1	EPI_ISL_541455
LR882113.1	EPI_ISL_541412
LR882116.1	EPI_ISL_541496
LR882119.1	EPI_ISL_541498
LR882123.1	EPI_ISL_541441
LR882125.1	EPI_ISL_541440
LR882127.1	EPI_ISL_541532
LR882130.1	EPI_ISL_541439
LR882135.1	EPI_ISL_541536
LR882137.1	EPI_ISL_541443
LR882138.1	EPI_ISL_541463
LR882139.1	EPI_ISL_541534
LR882141.1	EPI_ISL_541505
LR882144.1	EPI_ISL_541539
LR882145.1	EPI_ISL_541459
LR882146.1	EPI_ISL_541469
LR882147.1	EPI_ISL_541538
LR882148.1	EPI_ISL_541506
LR882152.1	EPI_ISL_510691
LR882153.1	EPI_ISL_510692
LR882154.1	EPI_ISL_510693
LR882157.1	EPI_ISL_510696
LR882160.1	EPI_ISL_541461
LR882181.1	EPI_ISL_510733
LR882182.1	EPI_ISL_510721
LR882184.1	EPI_ISL_510723
LR882186.1	EPI_ISL_510734
LR882188.1	EPI_ISL_510730
LR882189.1	EPI_ISL_510736
LR882193.1	EPI_ISL_510726
LR882195.1	EPI_ISL_510731
LR882196.1	EPI_ISL_510735
LR882198.1	EPI_ISL_510740
LR882202.1	EPI_ISL_511984
LR882203.1	EPI_ISL_510746
LR882207.1	EPI_ISL_510748
LR882214.1	EPI_ISL_511988
LR882221.1	EPI_ISL_510758
LR882230.1	EPI_ISL_510765
LR882234.1	EPI_ISL_512003
LR882237.1	EPI_ISL_512000
LR882241.1	EPI_ISL_510767
LR882243.1	EPI_ISL_510773
LR882248.1	EPI_ISL_512013
LR882250.1	EPI_ISL_510779
LR882255.1	EPI_ISL_512011
LR882258.1	EPI_ISL_512009
LR882266.1	EPI_ISL_512021
LR882273.1	EPI_ISL_510792
LR882277.1	EPI_ISL_516554
LR882285.1	EPI_ISL_512025
LR882288.1	EPI_ISL_512028
LR882293.1	EPI_ISL_510799
LR882294.1	EPI_ISL_516557
LR882299.1	EPI_ISL_512034
LR882310.1	EPI_ISL_512035
LR882312.1	EPI_ISL_512041
LR882313.1	EPI_ISL_512038
LR882315.1	EPI_ISL_512040
LR882326.1	EPI_ISL_516572
LR882327.1	EPI_ISL_512043
LR882331.1	EPI_ISL_516569
LR882332.1	EPI_ISL_512045
LR882341.1	EPI_ISL_516575
LR882343.1	EPI_ISL_512051
LR882344.1	EPI_ISL_512050
LR882347.1	EPI_ISL_512052
LR882351.1	EPI_ISL_516582
LR882362.1	EPI_ISL_516598
LR882364.1	EPI_ISL_516604
LR882369.1	EPI_ISL_516600
LR882371.1	EPI_ISL_516596
LR882372.1	EPI_ISL_516597
LR882374.1	EPI_ISL_539341
LR882380.1	EPI_ISL_539342
LR882381.1	EPI_ISL_539348
LR882382.1	EPI_ISL_539349
LR882383.1	EPI_ISL_539346
LR882387.1	EPI_ISL_539347
LR882389.1	EPI_ISL_539362
LR882391.1	EPI_ISL_539367
LR882392.1	EPI_ISL_539365
LR882395.1	EPI_ISL_539361
LR882397.1	EPI_ISL_539359
LR882400.1	EPI_ISL_539360
LR882401.1	EPI_ISL_539373
LR882402.1	EPI_ISL_539370
LR882403.1	EPI_ISL_539375
LR882407.1	EPI_ISL_539368
LR882409.1	EPI_ISL_539386
LR882411.1	EPI_ISL_539390
LR882418.1	EPI_ISL_539401
LR882420.1	EPI_ISL_539392
LR882421.1	EPI_ISL_539383
LR882422.1	EPI_ISL_539398
LR882426.1	EPI_ISL_539388
LR882427.1	EPI_ISL_539403
LR882428.1	EPI_ISL_539404
LR882429.1	EPI_ISL_539417
LR882430.1	EPI_ISL_539406
LR882433.1	EPI_ISL_539407
LR882434.1	EPI_ISL_539419
LR882436.1	EPI_ISL_539429
LR882440.1	EPI_ISL_539426
LR882447.1	EPI_ISL_539410
LR882448.1	EPI_ISL_539412
LR882449.1	EPI_ISL_539444
LR882464.1	EPI_ISL_539437
LR882465.1	EPI_ISL_539440
LR882475.1	EPI_ISL_539463
LR882476.1	EPI_ISL_539462
LR882483.1	EPI_ISL_539466
LR882485.1	EPI_ISL_539464
LR882772.1	EPI_ISL_560476
LR882775.1	EPI_ISL_560417
LR882776.1	EPI_ISL_560431
LR882778.1	EPI_ISL_560543
LR882779.1	EPI_ISL_560430
LR882785.1	EPI_ISL_560485
LR882786.1	EPI_ISL_560541
LR882787.1	EPI_ISL_560457
LR882788.1	EPI_ISL_560542
LR882789.1	EPI_ISL_560416
LR882790.1	EPI_ISL_560486
LR882791.1	EPI_ISL_560488
LR882793.1	EPI_ISL_560493
LR882795.1	EPI_ISL_560500
LR882797.1	EPI_ISL_560495
LR882799.1	EPI_ISL_560498
LR882802.1	EPI_ISL_560471
LR882803.1	EPI_ISL_560496
LR882804.1	EPI_ISL_560433
LR882807.1	EPI_ISL_560434
LR882808.1	EPI_ISL_560491
LR882809.1	EPI_ISL_560477
LR882810.1	EPI_ISL_560544
LR882812.1	EPI_ISL_560481
LR882816.1	EPI_ISL_560502
LR882817.1	EPI_ISL_560501
LR882819.1	EPI_ISL_560534
LR882821.1	EPI_ISL_560422
LR882823.1	EPI_ISL_560507
LR882825.1	EPI_ISL_560509
LR882826.1	EPI_ISL_560504
LR882829.1	EPI_ISL_560503
LR882831.1	EPI_ISL_560508
LR882832.1	EPI_ISL_560506
LR882834.1	EPI_ISL_560438
LR882835.1	EPI_ISL_560459
LR882838.1	EPI_ISL_560460
LR882840.1	EPI_ISL_560479
LR882841.1	EPI_ISL_560461
LR882843.1	EPI_ISL_560517
LR882844.1	EPI_ISL_560513
LR882845.1	EPI_ISL_560440
LR882846.1	EPI_ISL_560512
LR882847.1	EPI_ISL_560546
LR882848.1	EPI_ISL_560514
LR882854.1	EPI_ISL_560547
LR882856.1	EPI_ISL_560424
LR882857.1	EPI_ISL_560519
LR882861.1	EPI_ISL_560425
LR882862.1	EPI_ISL_560549
LR882866.1	EPI_ISL_560520
LR882869.1	EPI_ISL_560483
LR882870.1	EPI_ISL_560466
LR882871.1	EPI_ISL_560550
LR882872.1	EPI_ISL_560444
LR882873.1	EPI_ISL_560426
LR882874.1	EPI_ISL_560552
LR882875.1	EPI_ISL_560442
LR882877.1	EPI_ISL_560443
LR882879.1	EPI_ISL_560522
LR882880.1	EPI_ISL_560475
LR882882.1	EPI_ISL_560521
LR882886.1	EPI_ISL_560523
LR882887.1	EPI_ISL_560536
LR882892.1	EPI_ISL_560446
LR882894.1	EPI_ISL_560539
LR882895.1	EPI_ISL_560527
LR882900.1	EPI_ISL_560474
LR882903.1	EPI_ISL_560451
LR882909.1	EPI_ISL_560449
LR882910.1	EPI_ISL_560469
LR882911.1	EPI_ISL_560480
LR882912.1	EPI_ISL_560428
LR882914.1	EPI_ISL_560450
LR882915.1	EPI_ISL_560540
LR882916.1	EPI_ISL_560452
LR882984.1	EPI_ISL_541401
LR882985.1	EPI_ISL_541517
LR882988.1	EPI_ISL_541482
LR882993.1	EPI_ISL_541521
LR882994.1	EPI_ISL_541426
LR883990.1	EPI_ISL_529972
LR883994.1	EPI_ISL_529973
LR883998.1	EPI_ISL_529974
LR884001.1	EPI_ISL_529976
LR884002.1	EPI_ISL_529975
LR884004.1	EPI_ISL_529977
LR884005.1	EPI_ISL_534328
LR884006.1	EPI_ISL_529978
LR884007.1	EPI_ISL_534327
LR884008.1	EPI_ISL_529980
LR884009.1	EPI_ISL_529979
LR884010.1	EPI_ISL_529982
LR884011.1	EPI_ISL_529983
LR884012.1	EPI_ISL_529981
LR884013.1	EPI_ISL_529984
LR884014.1	EPI_ISL_529985
LR884015.1	EPI_ISL_529988
LR884016.1	EPI_ISL_529987
LR884017.1	EPI_ISL_529986
LR884018.1	EPI_ISL_529990
LR884019.1	EPI_ISL_529989
LR884020.1	EPI_ISL_529992
LR884021.1	EPI_ISL_529991
LR884022.1	EPI_ISL_529993
LR884023.1	EPI_ISL_529995
LR884024.1	EPI_ISL_529994
LR884025.1	EPI_ISL_529998
LR884026.1	EPI_ISL_529997
LR884027.1	EPI_ISL_529996
LR884028.1	EPI_ISL_530000
LR884029.1	EPI_ISL_529999
LR884030.1	EPI_ISL_530001
LR884031.1	EPI_ISL_530002
LR884032.1	EPI_ISL_530003
LR884033.1	EPI_ISL_530005
LR884034.1	EPI_ISL_530004
LR884035.1	EPI_ISL_530006
LR884036.1	EPI_ISL_530008
LR884037.1	EPI_ISL_530007
LR884038.1	EPI_ISL_530009
LR884039.1	EPI_ISL_530010
LR884040.1	EPI_ISL_530011
LR884041.1	EPI_ISL_530012
LR884042.1	EPI_ISL_530013
LR884043.1	EPI_ISL_530014
LR884044.1	EPI_ISL_530015
LR884045.1	EPI_ISL_534329
LR884046.1	EPI_ISL_530016
LR884047.1	EPI_ISL_530017
LR884048.1	EPI_ISL_530018
LR884049.1	EPI_ISL_530019
LR884050.1	EPI_ISL_530020
LR884051.1	EPI_ISL_530022
LR884052.1	EPI_ISL_530021
LR884053.1	EPI_ISL_530024
LR884054.1	EPI_ISL_530023
LR884126.1	EPI_ISL_530094
LR884128.1	EPI_ISL_530095
LR884129.1	EPI_ISL_530096
LR884130.1	EPI_ISL_530107
LR884131.1	EPI_ISL_530106
LR884132.1	EPI_ISL_530108
LR884133.1	EPI_ISL_530111
LR884134.1	EPI_ISL_530110
LR884135.1	EPI_ISL_530112
LR884136.1	EPI_ISL_530113
LR884137.1	EPI_ISL_530109
LR884138.1	EPI_ISL_530116
LR884140.1	EPI_ISL_530117
LR884141.1	EPI_ISL_530114
LR884142.1	EPI_ISL_530118
LR884144.1	EPI_ISL_530119
LR884170.1	EPI_ISL_530097
LR884171.1	EPI_ISL_530099
LR884172.1	EPI_ISL_530098
LR884174.1	EPI_ISL_530100
LR884175.1	EPI_ISL_530102
LR884177.1	EPI_ISL_530101
LR884178.1	EPI_ISL_530104
LR884179.1	EPI_ISL_530103
LR884180.1	EPI_ISL_530105
LR884257.1	EPI_ISL_574931
LR884258.1	EPI_ISL_574969
LR884261.1	EPI_ISL_574944
LR884263.1	EPI_ISL_574914
LR884264.1	EPI_ISL_574958
LR884265.1	EPI_ISL_574913
LR884266.1	EPI_ISL_574979
LR884267.1	EPI_ISL_574980
LR884268.1	EPI_ISL_574983
LR884269.1	EPI_ISL_574982
LR884270.1	EPI_ISL_574945
LR884271.1	EPI_ISL_574905
LR884273.1	EPI_ISL_574946
LR884274.1	EPI_ISL_574984
LR884294.1	EPI_ISL_574989
LR884295.1	EPI_ISL_575014
LR884299.1	EPI_ISL_574876
LR884300.1	EPI_ISL_574934
LR884302.1	EPI_ISL_574991
LR884303.1	EPI_ISL_574987
LR884305.1	EPI_ISL_574933
LR884307.1	EPI_ISL_574970
LR884308.1	EPI_ISL_575013
LR884310.1	EPI_ISL_574986
LR884312.1	EPI_ISL_574993
LR884316.1	EPI_ISL_574906
LR884317.1	EPI_ISL_574994
LR884319.1	EPI_ISL_574915
LR884320.1	EPI_ISL_574877
LR884322.1	EPI_ISL_574955
LR884324.1	EPI_ISL_574917
LR884325.1	EPI_ISL_574995
LR884326.1	EPI_ISL_574951
LR884329.1	EPI_ISL_574909
LR884330.1	EPI_ISL_574964
LR884331.1	EPI_ISL_574949
LR884332.1	EPI_ISL_574971
LR884333.1	EPI_ISL_574962
LR884334.1	EPI_ISL_574878
LR884336.1	EPI_ISL_574966
LR884338.1	EPI_ISL_574997
LR884339.1	EPI_ISL_574967
LR884341.1	EPI_ISL_574996
LR884342.1	EPI_ISL_574998
LR884347.1	EPI_ISL_574999
LR884350.1	EPI_ISL_575017
LR884361.1	EPI_ISL_574879
LR884363.1	EPI_ISL_574935
LR884365.1	EPI_ISL_574947
LR884367.1	EPI_ISL_574954
LR884373.1	EPI_ISL_575006
LR884375.1	EPI_ISL_575008
LR884376.1	EPI_ISL_575011
LR884378.1	EPI_ISL_575010
LR884399.1	EPI_ISL_574927
LR884401.1	EPI_ISL_575019
LR884403.1	EPI_ISL_574940
LR884410.1	EPI_ISL_574943
LR884412.1	EPI_ISL_574926
LR884413.1	EPI_ISL_574929
LR884416.1	EPI_ISL_574939
LR884417.1	EPI_ISL_574882
LR884418.1	EPI_ISL_574912
LR898540.1	EPI_ISL_603288
LR898550.1	EPI_ISL_603317
LR898563.1	EPI_ISL_603326
LR898588.1	EPI_ISL_603358
LR898594.1	EPI_ISL_603349
LR898600.1	EPI_ISL_603356
LR898636.1	EPI_ISL_603394
LR898676.1	EPI_ISL_603437
LR898708.1	EPI_ISL_603467
LR898765.1	EPI_ISL_603528
LR898774.1	EPI_ISL_603532
LR898779.1	EPI_ISL_603542
LR898796.1	EPI_ISL_603546
LR898836.1	EPI_ISL_603590
LR898844.1	EPI_ISL_603740
LR898889.1	EPI_ISL_614935
LR898890.1	EPI_ISL_614947
LR898891.1	EPI_ISL_614898
LR898892.1	EPI_ISL_614936
LR898894.1	EPI_ISL_614955
LR898895.1	EPI_ISL_614951
LR898898.1	EPI_ISL_614948
LR898899.1	EPI_ISL_614952
LR898900.1	EPI_ISL_614907
LR898902.1	EPI_ISL_614956
LR898905.1	EPI_ISL_614954
LR898906.1	EPI_ISL_614958
LR898908.1	EPI_ISL_614896
LR898909.1	EPI_ISL_614960
LR898914.1	EPI_ISL_614908
LR898916.1	EPI_ISL_614942
LR898917.1	EPI_ISL_614902
LR898918.1	EPI_ISL_614962
LR898921.1	EPI_ISL_614911
LR898924.1	EPI_ISL_614961
LR898925.1	EPI_ISL_614903
LR898926.1	EPI_ISL_614901
LR898930.1	EPI_ISL_614918
LR898932.1	EPI_ISL_614969
LR898934.1	EPI_ISL_614916
LR898935.1	EPI_ISL_614917
LR898946.1	EPI_ISL_614943
LR898947.1	EPI_ISL_614968
LR898952.1	EPI_ISL_614924
LR898953.1	EPI_ISL_614977
LR898954.1	EPI_ISL_614974
LR898957.1	EPI_ISL_614927
LR898959.1	EPI_ISL_614975
LR898961.1	EPI_ISL_614945
LR898962.1	EPI_ISL_614938
LR898963.1	EPI_ISL_614923
LR898964.1	EPI_ISL_614926
LR898965.1	EPI_ISL_614941
LR898966.1	EPI_ISL_614978
LR898967.1	EPI_ISL_614963
LR898970.1	EPI_ISL_614929
LR898971.1	EPI_ISL_614931
LR898973.1	EPI_ISL_614933
LR898975.1	EPI_ISL_614979
MN908947.3	EPI_ISL_402125
MN938384.1	EPI_ISL_406030
MN975262.1	EPI_ISL_405839
MN985325.1	EPI_ISL_404895
MN988668.1	EPI_ISL_406716
MN988669.1	EPI_ISL_406717
MN988713.1	EPI_ISL_404253
MN994467.1	EPI_ISL_406034
MN994468.1	EPI_ISL_406036
MN996527.1	EPI_ISL_402127
MN996528.1	EPI_ISL_402124
MN996529.1	EPI_ISL_402128
MN996530.1	EPI_ISL_402129
MN996531.1	EPI_ISL_402130
MN997409.1	EPI_ISL_406223
MT007544.1	EPI_ISL_406844
MT019529.1	EPI_ISL_402123
MT019530.1	EPI_ISL_403931
MT019531.1	EPI_ISL_403930
MT019532.1	EPI_ISL_403929
MT019533.1	EPI_ISL_403928
MT020781.1	EPI_ISL_407079
MT020880.1	EPI_ISL_407214
MT020881.1	EPI_ISL_407215
MT027062.1	EPI_ISL_408008
MT027063.1	EPI_ISL_408009
MT027064.1	EPI_ISL_408010
